t_s,hhmmss,remote,refid,stratum,assoc_type,when_s,poll_s,reach_raw,reach_oct,sel_char,selected,delay_ms,offset_ms,jitter_ms,raw,t_rel_s
53671.0,14:54:31,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,0.0
53731.0,14:55:31,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,60.0
53791.0,14:56:31,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,120.0
53851.0,14:57:31,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,180.0
53911.0,14:58:31,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,240.0
53972.0,14:59:32,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,301.0
54032.0,15:00:32,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,361.0
54092.0,15:01:32,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,421.0
54152.0,15:02:32,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,481.0
54212.0,15:03:32,boundary1,.INIT.,16,u,,64,0,0,,False,0.0,0.0,0.0002,boundary1       .INIT.          16 u    -   64    0   0.0000   0.0000   0.0002,541.0
54272.0,15:04:32,boundary1,10.0.10.4,10,u,38.0,64,1,1,*,True,17.813,-7.5271,1.2975,*boundary1       10.0.10.4       10 u   38   64    1  17.8130  -7.5271   1.2975,601.0
54332.0,15:05:32,boundary1,10.0.10.4,10,u,39.0,64,3,3,*,True,17.4577,-7.82,1.1299,*boundary1       10.0.10.4       10 u   39   64    3  17.4577  -7.8200   1.1299,661.0
54392.0,15:06:32,boundary1,10.0.10.4,10,u,30.0,64,7,7,*,True,20.3607,-9.3643,1.8156,*boundary1       10.0.10.4       10 u   30   64    7  20.3607  -9.3643   1.8156,721.0
54452.0,15:07:32,boundary1,10.0.10.4,10,u,21.0,64,17,15,*,True,15.4154,-6.9026,1.5969,*boundary1       10.0.10.4       10 u   21   64   17  15.4154  -6.9026   1.5969,781.0
54512.0,15:08:32,boundary1,10.0.10.4,10,u,15.0,64,37,31,*,True,16.9641,-6.2575,1.6486,*boundary1       10.0.10.4       10 u   15   64   37  16.9641  -6.2575   1.6486,841.0
54572.0,15:09:32,boundary1,10.0.10.4,10,u,10.0,64,77,63,*,True,20.2587,-8.8909,1.8286,*boundary1       10.0.10.4       10 u   10   64   77  20.2587  -8.8909   1.8286,901.0
54632.0,15:10:32,boundary1,10.0.10.4,10,u,4.0,64,177,127,*,True,14.1986,-5.8483,2.0571,*boundary1       10.0.10.4       10 u    4   64  177  14.1986  -5.8483   2.0571,961.0
54692.0,15:11:32,boundary1,10.0.10.4,10,u,64.0,64,177,127,*,True,14.1986,-5.8483,2.0571,*boundary1       10.0.10.4       10 u   64   64  177  14.1986  -5.8483   2.0571,1021.0
54752.0,15:12:32,boundary1,10.0.10.4,10,u,55.0,64,377,255,*,True,14.4897,-6.9424,1.3332,*boundary1       10.0.10.4       10 u   55   64  377  14.4897  -6.9424   1.3332,1081.0
54812.0,15:13:32,boundary1,10.0.10.4,10,u,46.0,64,377,255,*,True,20.7471,-8.6858,1.7493,*boundary1       10.0.10.4       10 u   46   64  377  20.7471  -8.6858   1.7493,1141.0
54873.0,15:14:33,boundary1,10.0.10.4,10,u,38.0,64,377,255,*,True,12.8284,-5.6966,2.2657,*boundary1       10.0.10.4       10 u   38   64  377  12.8284  -5.6966   2.2657,1202.0
54933.0,15:15:33,boundary1,10.0.10.4,10,u,30.0,64,377,255,*,True,12.8284,-5.6966,1.83,*boundary1       10.0.10.4       10 u   30   64  377  12.8284  -5.6966   1.8300,1262.0
54993.0,15:16:33,boundary1,10.0.10.4,10,u,22.0,64,377,255,*,True,12.8284,-5.6966,1.9073,*boundary1       10.0.10.4       10 u   22   64  377  12.8284  -5.6966   1.9073,1322.0
